# THALASSA - STATISTICS                                                                                                                                                                                                             
#===================================================================================================================================================================================================================================
#    CALLS      STEPS                    TOL               CPUT [s]                    MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]
    125766      60856  1.000000000000000E-13  1.922000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.889000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.884000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.905000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.908000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.909000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.883000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.884000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.900000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.887000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.918000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.911000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.939000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.885000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.903000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.879000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.893000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    131242      62944  1.000000000000000E-13  2.115000000000000E+00  5.940825000000000E+04  4.319475904793009E+04  4.184909832924298E-02  1.308992149848125E+01  3.576567194264765E+02  1.001044312811708E+01  6.565490218385166E+01
    130694      62692  1.000000000000000E-13  2.132000000000000E+00  5.940825000000000E+04  4.319475904809327E+04  4.184909830533710E-02  1.308992149854366E+01  3.576567194274134E+02  1.001044312669078E+01  6.565490168326187E+01
